,Unnamed: 0,cohort,DPH,seq,video_name,fps,num_frames_sampled,last_frame_sampled,duration.sampled,num_frames_with_detections,total_clips,removed_preds,start_frame,rotifers,artemia,temp,oxygen,PH,our.temp,mean_current,std_current,rms_current,pull,crazy,fast_start,rotate,breathe,swim,other,strike,spit_i.o,no_fish,tot_preds_in_sampled_time,tot_labeled,proportion_no_fish,min_labeled,frame_span_labeled,manually_annotated,mean_detections_per_frame_20,std_detections_per_frame_20,max_detections_per_frame_20,last_frame_labeled,age_group,frame_size,manual_strikes,manual_strikes_detected_kinetics,manual_strikes_detected_ssv,manual_strikes_detected,new_strikes_kinetics_only,new_strikes_ssv_only,new_strikes_both,new_strikes_detected,unique_strikes,tot_labeled_both,tank,full_duration_min,stat_strikes,sr,full_duration_frame
84,91,F08,24,Seq1,Seq1_24DPH_F08,500,2501,150040,5.001333333,1710,3085,255,0,0.0,45.5,21.3,93.0,8.09,21.1,0.013452729,0.008258892,0.01578559,32,1,2,0,0,60,32,0,3,2,2830,97,0.020618557,5.00266666666667,150080,False,0.904761905,1.04425868,3,150080,21-25,400,0,0,0,0,0,1,0,1,1,157,61,49.55903333,1,13,1486771
85,92,F05,29,Seq2,Seq2_29DPH_F05,750,2412,144700,3.215555556,639,754,29,0,0.0,126.0,22.1,87.0,8.01,21.8,,,,0,0,0,0,0,3,0,1,1,0,725,5,0.0,3.21644444444444,144740,True,0.380952381,0.589592272,2,144740,26-30,400,0,0,0,0,1,1,0,2,2,11,41,3.217266667,2,98,144777
86,93,F11,27,Seq3,Seq3_27DPH_F11,500,2501,150040,5.001333333,1188,1792,58,0,0.0,79.8,20.4,77.0,8.080340909,,,,,7,1,1,0,1,84,7,0,2,0,1734,93,0.0,5.00266666666667,150080,True,0.952380952,1.116968687,3,150080,26-30,400,0,0,0,0,0,0,0,0,0,122,81,17.5385,0,0,526155
87,94,F12,27,Seq1,Seq1_27DPH_F12,500,2501,150040,5.001333333,2370,7576,700,0,0.0,96.25,19.7,75.0,8.080340909,,,,,3,0,2,0,5,447,17,1,3,0,6876,468,0.0,5.00266666666667,150080,True,3.0,2.024845673,6,150080,26-30,400,0,0,0,0,0,1,1,2,2,609,101,20.00523333,2,8,600157
88,95,F11,27,Seq1,Seq1_27DPH_F11,500,2501,150040,5.001333333,549,701,31,0,0.0,79.8,20.4,77.0,8.080340909,,,,,15,0,0,0,7,3,19,0,0,0,670,22,0.0,5.00266666666667,150080,True,0.380952381,0.74001287,3,150080,26-30,400,0,0,0,0,0,0,0,0,0,31,81,17.5385,0,0,526155
89,96,F18,28,Seq2,Seq2_28DPH_F18,500,2501,150040,5.001333333,803,1008,20,0,0.0,89.25,20.5,77.0,7.99,20.3,,,,6,0,1,0,19,32,40,1,1,0,988,74,0.0,5.00266666666667,150080,False,0.523809524,0.601585208,2,150080,26-30,400,0,0,0,0,0,0,1,1,1,88,51,22.98886667,1,23,689666
90,97,F05,25,Seq1,Seq1_25DPH_F05,750,3751,225040,5.000888889,3126,11448,1280,0,0.0,75.6,21.2,80.0,8.03,21.2,,,,0,0,1,0,0,272,1,1,0,12,10168,286,0.041958042,5.00177777777778,225080,True,2.857142857,2.031888636,6,225080,21-25,400,0,0,0,0,1,1,0,2,2,364,41,30.36708889,2,8,1366519
91,98,F13,30,Seq2,Seq2_30DPH_F13,500,2501,150040,5.001333333,1596,2853,180,0,0.0,112.8,21.3,108.0,8.1,21.3,,,,2,1,0,0,1,46,4,0,0,0,2673,50,0.0,5.00266666666667,150080,True,1.19047619,1.123345344,4,150080,26-30,400,0,0,0,0,0,0,0,0,0,85,81,20.60843333,0,0,618253
92,99,F15,23,Seq3,Seq3_23DPH_F15,500,2501,150040,5.001333333,2314,7127,824,0,377.0,50.4,20.0,80.0,8.03,19.7,,,,45,14,2,0,0,397,54,0,5,0,6303,456,0.0,5.00266666666667,150080,True,2.476190476,1.470341716,5,150080,21-25,400,0,0,0,0,0,5,0,5,5,643,71,9.778566667,5,24,293357
93,101,F11,23,Seq1,Seq1_23DPH_F11,500,2501,150040,5.001333333,1509,2894,287,0,100.0,14.21,23.0,76.0,7.88,21.0,,,,11,2,0,0,0,6,11,0,1,0,2607,18,0.0,5.00266666666667,150080,True,1.0,1.264911064,4,150080,21-25,400,0,0,0,0,0,0,0,0,0,100,81,15.003,0,0,450090
94,102,F11,23,Seq2,Seq2_23DPH_F11,500,2501,150040,5.001333333,2426,8484,1001,0,100.0,14.21,23.0,76.0,7.88,21.0,,,,10,1,0,0,0,34,9,0,2,0,7483,45,0.0,5.00266666666667,150080,True,3.571428571,2.087377028,8,150080,21-25,400,0,0,0,0,0,1,0,1,1,304,81,13.704,1,3,411120
95,103,F10,24,Seq2,Seq2_24DPH_F10,500,2501,150040,5.001333333,1563,2651,215,0,0.0,70.0,20.5,89.0,8.15,20.3,,,,41,0,1,0,0,165,45,0,7,71,2436,288,0.246527778,5.00266666666667,150080,True,0.476190476,0.679635757,2,150080,21-25,400,0,0,0,0,0,0,0,0,0,368,101,31.51266667,0,0,945380
96,104,F02,13,Seq1,Seq1_13DPH_F02,850,4251,255040,,3403,7780,680,0,240.0,0.0,18.7,100.0,8.09267653276279,,,,,2,0,0,0,0,6,2,0,0,0,7100,8,0.0,5.00156862745098,255080,True,1.857142857,1.195228609,4,255080,08-14,400,0,0,0,0,0,0,0,0,0,104,41,8.581862745,0,0,437675
97,105,F02,18,Seq1,Seq1_18DPH_F02,500,2501,150040,,2365,7835,749,0,150.0,17.0,20.4,92.0,8.09267653276279,,,,,2,0,0,0,0,175,3,0,0,0,7086,178,0.0,5.00266666666667,150080,True,3.333333333,1.712697677,7,150080,15-20,400,0,0,0,0,0,0,0,0,0,214,41,20.0027,0,0,600081
98,106,F02,18,Seq2,Seq2_18DPH_F02,500,2501,150040,,1523,2400,124,0,150.0,17.0,20.4,92.0,8.09267653276279,,,,,0,0,1,0,0,103,2,0,0,0,2276,105,0.0,5.00266666666667,150080,True,0.5714285714,0.7464200273,2,150080,15-20,400,0,0,0,0,0,0,0,0,0,113,41,8.293833333,0,0,248815
99,107,F02,18,Seq3,Seq3_18DPH_F02,750,3751,225040,,2838,5284,300,0,150.0,17.0,20.4,92.0,8.09267653276279,,,,,0,0,0,0,0,35,0,0,0,0,4984,35,0.0,5.00177777777778,225080,True,1.333333333,1.354006401,5,225080,15-20,400,0,0,0,0,0,1,0,1,1,59,41,13.81817778,1,9,621818
